SampleNo,DriverGender,DriverAge,YearsLicensed,Licensed Age,WindscreenExtension,RentalCar,Alarm,GarageType,FinanceType,StandardExcess,LicenceType,CurrentInsurer,Modified,Num Claims,Num Claims in 3 years,Num Claims in 5 years,Vehicle Sum Insured,TypeOfUse,CoverType,ExistingPolicies,RoadsideRescue,Other Accessories,Additional Driver,AAMember_B,Start Date,Immobliser,HasPassengerFare,HasTradeUse,HCusinessUseType,IsACustomer,Vehicle Year,Make,Model,gd2000_xcoord,gd2000_ycoord,X_Coord,Y_Coord
806,Female,48,28,20,No,No,No,Garage,NO,400,NZFULL,G,No,0,0,0,17993,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Suzuki,Swift,172.7231636,-43.60062735,1577656.546,5172445.819
807,Female,51,35,16,No,No,No,Garage,NO,400,NZFULL,B,No,0,0,0,46812,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Mazda,Cx-5,172.7121298,-43.60265213,1576766.788,5172217.92
808,Male,53,29,24,No,No,No,Driveway,AA Finance,400,NZRESTRICTED,H,No,0,0,0,6033,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2011,Suzuki,Alto,174.8112509,-36.95575418,1761258.827,5908503.269
809,Male,29,4,25,No,No,No,Driveway,NO,400,NZFULL,E,No,0,0,0,33287,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Toyota,Hiace,174.8343047,-36.97312228,1763274.433,5906537.031
810,Male,28,9,19,No,No,No,Garage,NO,400,NZFULL,E,No,0,0,0,22923,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Mazda,Mazda6,174.8238526,-36.95875417,1762374.512,5908149.019
811,Male,24,5,19,No,No,No,Driveway,NO,400,NZFULL,D,No,0,0,0,25830,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Nissan,Navara Rx,174.8128184,-36.95974993,1761389.961,5908057.294
812,Female,38,21,17,No,No,Yes,Carport,NO,400,NZFULL,H,No,0,0,0,16000,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Suzuki,Ignis,174.8200383,-36.96171232,1762028.629,5907827.313
813,Male,59,40,19,No,No,Yes,Driveway,NO,400,NZFULL,F,No,0,0,0,88525,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Toyota,Landcruiser,174.8386245,-36.96728835,1763671.478,5907176.881
814,Female,32,14,18,No,No,No,Carport,NO,400,NZRESTRICTED,C,No,1,0,1,22530,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Toyota,86,174.7978773,-36.95389193,1760071.941,5908732.436
815,Male,42,23,19,No,No,Yes,Garage,NO,400,NZFULL,G,No,0,0,0,37980,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Mini,Countryman,174.8156574,-36.95440312,1761654.039,5908645.698
816,Male,41,22,19,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,32000,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Holden,Trax,174.8091785,-36.95077265,1761084.795,5909059.465
817,Male,51,32,19,No,No,Yes,Driveway,NO,400,NZFULL,J,No,0,0,0,45000,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Mazda,Mazda6,174.8085721,-36.96166583,1761007.855,5907851.915
818,Male,22,1,21,No,No,No,Garage,NO,400,NZFULL,D,No,0,0,0,67840,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Mercedes-Benz,X350,174.813433,-36.96436033,1761434.945,5907544.737
819,Female,46,27,19,No,No,No,Garage,NO,400,NZRESTRICTED,C,No,0,0,0,7507,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2008,Nissan,Tiida,174.8075962,-36.95681552,1760931.178,5908391.696
820,Female,45,28,17,No,No,No,Carport,AA Finance,400,NZFULL,F,No,0,0,0,13983,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2012,Hyundai,I30,174.8045338,-36.95915092,1760653.598,5908137.757
821,Male,18,0,18,No,No,No,Driveway,NO,400,NZFULL,C,No,0,0,0,35940,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Volkswagen,Caddy,174.8172089,-36.97064737,1761757.805,5906840.794
822,Male,38,16,22,No,No,No,Carport,NO,400,NZFULL,F,No,0,0,0,124150,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Audi,Q7,174.8167576,-36.9587647,1761742.774,5908159.921
823,Male,41,21,20,No,No,No,Driveway,NO,400,NZFULL,A,No,0,0,0,31750,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Mazda,Mx-5,174.9787095,-41.18637368,1765947.303,5438665.995
824,Male,22,4,18,No,No,No,Driveway,AA Finance,400,NZLEARNERS,F,No,0,0,0,77022,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Mercedes-Benz,Sprinter,175.0238003,-41.14696657,1769830.882,5442954.034
825,Female,42,24,18,No,No,No,Garage,AA Finance,400,NZRESTRICTED,E,No,0,0,0,21313,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Hyundai,I40,175.0089673,-41.14914275,1768580.498,5442741.268
826,Male,67,42,25,No,No,Yes,Garage,NO,400,NZFULL,H,No,0,0,0,18137,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Mazda,Mazda2,175.0110677,-41.15412715,1768743.974,5442183.821
827,Male,21,3,18,No,No,No,Driveway,AA Finance,400,NZFULL,E,No,0,0,0,5717,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2006,Ford,Mondeo,175.0127256,-41.16244805,1768861.725,5441256.803
828,Male,86,68,18,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,14080,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2011,Peugeot,508,175.326243,-38.89117323,1801753.518,5692727.71
829,Female,39,21,18,No,No,No,Garage,NO,400,NZFULL,A,No,0,0,0,33580,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2016,Toyota,Camry,175.3204283,-38.88736087,1801259.919,5693163.685
830,Female,34,14,20,No,No,No,Driveway,NO,400,Australian,F,No,0,0,0,37617,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Holden,Colorado,175.3297863,-38.88980523,1802064.741,5692871.698
831,Female,27,3,24,No,No,Yes,Driveway,NO,400,NZFULL,E,No,1,0,1,25270,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Nissan,Caravan,175.31632,-38.8852487,1800909.501,5693407.169
832,Female,28,10,18,No,No,Yes,Driveway,NO,400,Australian,E,No,0,0,0,36850,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Holden,Captiva,175.3183048,-38.88646765,1801078.237,5693267.506
833,Female,22,4,18,No,No,No,Driveway,NO,400,NZFULL,J,No,3,2,2,31980,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Hyundai,Sonata,175.3309224,-38.89441027,1802150.225,5692358.073
834,Female,52,32,20,No,No,No,Carport,NO,400,NZFULL,C,No,0,0,0,54497,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Toyota,Landcruiser,175.3313846,-38.89134733,1802199.004,5692696.999
835,Male,20,2,18,No,No,No,Carport,NO,400,Australian,H,No,1,0,0,17300,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Suzuki,Ignis,175.3281002,-38.88852003,1801922.127,5693018.074
836,Male,44,26,18,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,34447,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Mitsubishi,Triton,175.3248735,-38.88791255,1801643.953,5693092.637
837,Male,63,45,18,No,No,Yes,Driveway,NO,400,NZRESTRICTED,E,No,0,0,0,11330,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2006,Holden,Commodore,175.3251987,-38.89670977,1801647.27,5692115.527
838,Female,39,21,18,No,No,Yes,Driveway,NO,400,NZRESTRICTED,C,No,0,0,0,27700,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Hyundai,Elantra,175.3267495,-38.89239613,1801793.989,5692590.861
839,Female,43,15,28,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,31533,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2012,Mitsubishi,Pajero,175.322018,-38.89169568,1801385.568,5692679.062
840,Female,32,4,28,No,No,Yes,Driveway,NO,400,NZRESTRICTED,J,No,0,0,0,33900,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Mitsubishi,Triton,175.2956024,-37.78313485,1802153.448,5815764.261
841,Male,17,0,17,No,No,No,Driveway,NO,400,NZFULL,J,No,0,0,0,67400,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Mercedes-Benz,Sprinter,175.301231,-37.8013878,1802599.295,5813726.529
842,Male,62,44,18,No,No,Yes,Garage,NO,400,NZFULL,G,No,0,0,0,7583,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2004,Subaru,Impreza,175.3011117,-37.79174285,1802615.149,5814797.094
843,Female,27,9,18,No,No,No,Garage,NO,400,NZFULL,B,No,0,0,0,9567,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2007,Subaru,Impreza,174.88491,-37.0274112,1767660.043,5900425.708
844,Male,36,17,19,No,No,No,Garage,NO,400,NZFULL,G,No,0,0,0,36950,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Hyundai,I40,174.8987992,-37.03764137,1768872.929,5899266.086
845,Female,51,33,18,No,No,No,Driveway,NO,400,Australian,C,No,3,1,2,45960,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Audi,A7,174.878835,-37.01912793,1767137.78,5901355.432
846,Male,18,0,18,No,No,No,Street,NO,400,NZFULL,B,No,0,0,0,34513,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Renault,Master,174.9015884,-37.01276757,1769176.192,5902020.893
847,Male,69,51,18,No,No,No,Street,NO,400,NZFULL,A,No,0,0,0,35120,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Mini,Hatch,174.8647306,-37.01880315,1765883.661,5901416.156
848,Male,64,47,17,No,No,No,Driveway,NO,400,NZFULL,G,No,0,0,0,14500,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Toyota,Camry,175.0586379,-41.12805583,1772804.16,5444984.976
849,Female,36,14,22,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,39550,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Mazda,Cx-9,175.0556937,-41.12355948,1772568.792,5445490.008
850,Female,19,2,17,No,No,No,Driveway,NO,400,NZRESTRICTED,J,No,0,0,0,17155,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2008,Holden,Calais,175.1043781,-41.09282023,1776738.386,5448805.108
851,Female,24,6,18,No,No,No,Garage,NO,400,NZFULL,D,No,0,0,0,8343,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2004,Lexus,Is200,175.093736,-41.11478745,1775785.926,5446387.803
852,Male,30,13,17,No,No,No,Driveway,NO,400,NZFULL,F,No,0,0,0,19665,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Hyundai,Santa Fe,175.034184,-41.14203387,1770715.097,5443481.357
853,Male,27,5,22,No,No,No,Garage,NO,400,NZRESTRICTED,H,No,0,0,0,9993,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Suzuki,Splash,175.0935199,-41.0969063,1775815.492,5448373.435
854,Male,41,23,18,No,No,No,Carport,NO,400,NZFULL,B,No,0,0,0,46250,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Hyundai,I40,175.1304136,-41.09492563,1778919.427,5448518.221
855,Male,66,49,17,No,No,Yes,Garage,AA Finance,400,NZFULL,D,No,0,0,0,15300,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Suzuki,Swift,175.1036149,-41.10588102,1776639.271,5447356.624
856,Male,17,0,17,No,No,No,Garage,NO,400,NZFULL,F,No,0,0,0,10353,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Toyota,Yaris,175.0569955,-41.11907193,1772689.848,5445985.642
857,Male,25,2,23,No,No,No,Garage,NO,400,NZFULL,D,No,0,0,0,7993,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2009,Nissan,Tiida,174.0443173,-39.06700085,1690344.96,5675269.288
858,Female,21,4,17,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,30900,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2011,BMW,X3,174.0526083,-39.06829468,1691060.577,5675117.43
859,Male,35,16,19,No,No,No,Carport,NO,400,NZRESTRICTED,F,No,0,0,0,11473,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Suzuki,Celerio,174.0714999,-39.08393177,1692674.459,5673362.985
860,Male,47,28,19,No,No,No,Garage,NO,400,NZFULL,A,No,0,0,0,22477,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Holden,Trax,174.092207,-39.07577843,1694476.344,5674246.493
861,Female,54,35,19,No,No,No,Driveway,NO,400,NZFULL,D,No,0,0,0,17535,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2008,Kia,Sorento,174.0709868,-39.07367212,1692643.497,5674502.089
862,Female,17,0,17,No,No,No,Driveway,NO,400,NZRESTRICTED,C,No,0,0,0,12510,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Holden,Barina,174.0629901,-39.08705188,1691934.375,5673025.37
863,Female,23,5,18,No,No,No,Garage,NO,400,NZRESTRICTED,F,No,0,0,0,42800,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Volkswagen,T6,175.454315,-41.21824063,1805737.706,5434111.188
864,Female,23,0,23,No,No,Yes,Driveway,NO,400,Australian,G,No,0,0,0,18760,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Mitsubishi,Challenger,175.4573058,-41.21598362,1805995.522,5434354.692
865,Male,18,0,18,No,No,Yes,Garage,NO,400,NZFULL,C,No,0,0,0,122300,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Land Rover,Range Rover Sport,175.4601057,-41.21493053,1806233.566,5434464.973
866,Female,28,11,17,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,14547,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2008,Volkswagen,T5,175.4535475,-41.22236172,1805660.444,5433655.452
867,Male,45,26,19,No,No,No,Garage,NO,400,NZFULL,B,No,2,1,2,18080,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Mazda,Mazda3,175.4676896,-41.2282872,1806827.271,5432963.989
868,Male,18,0,18,No,No,Yes,Garage,NO,400,Australian,F,No,0,0,0,28863,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Toyota,Hiace,170.4827827,-45.89149715,1404707.276,4914926.526
869,Female,59,41,18,No,No,No,Carport,NO,400,NZFULL,F,No,0,0,0,40960,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Mini,Hatch,170.4758926,-45.89159655,1404173.083,4914898.586
870,Male,19,0,19,No,No,Yes,Garage,NO,400,NZFULL,H,No,0,0,0,33400,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Holden,Equinox,170.4789935,-45.87433908,1404353.05,4916823.525
871,Male,30,12,18,No,No,No,Garage,NO,400,Australian,E,No,0,0,0,31963,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Subaru,Forester,170.4724233,-45.87096427,1403831.287,4917182.335
872,Male,47,30,17,No,No,No,Driveway,NO,400,NZFULL,F,No,0,0,0,5233,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2007,Holden,Barina,170.4813381,-45.8775589,1404546.298,4916471.547
873,Male,63,45,18,No,No,No,Driveway,NO,400,NZFULL,H,No,2,0,2,40840,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,BMW,X1,170.47489,-45.88848193,1404084.343,4915242.163
874,Female,55,37,18,No,No,No,Driveway,NO,400,NZFULL,E,No,0,0,0,16087,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2011,Kia,Carnival,170.4640547,-45.86575988,1403163.421,4917739.935
875,Male,54,35,19,No,No,No,Driveway,AA Finance,400,NZFULL,B,No,0,0,0,20963,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Mazda,Bt-50,170.4724975,-45.89153902,1403909.485,4914896.635
876,Male,22,4,18,No,No,Yes,Garage,NO,400,NZFULL,E,No,0,0,0,36107,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Nissan,Navara St-X,173.9612164,-41.52151432,1680199.69,5402901.295
877,Male,21,4,17,No,No,No,Garage,AA Finance,400,NZFULL,G,No,0,0,0,21467,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2012,Mazda,Bt-50,173.9611015,-41.53961873,1680167.746,5400891.42
878,Male,41,23,18,No,No,Yes,Garage,NO,400,NZFULL,H,No,0,0,0,50200,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Holden,Trailblazer,173.945587,-41.51704973,1678901.049,5403411.346
879,Male,52,31,21,No,No,No,H,NO,400,NZFULL,C,No,0,0,0,45650,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Subaru,Levorg,173.9429898,-41.53220463,1678665.974,5401731.194
880,Male,59,38,21,No,No,No,Driveway,NO,400,NZLEARNERS,H,No,0,0,0,28207,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Kia,Sorento R,173.9475213,-41.52261378,1679055.679,5402791.85
881,Male,50,30,20,No,No,No,Garage,NO,400,NZFULL,A,No,0,0,0,6843,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2006,Toyota,Corolla,172.6141791,-43.46002182,1568787.983,5188026.216
882,Male,44,24,20,No,No,Yes,Garage,NO,400,NZFULL,C,No,3,1,2,10330,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2010,Toyota,Corolla,172.6554677,-43.48518542,1572139.699,5185246.25
883,Male,48,30,18,No,No,Yes,Driveway,NO,400,NZFULL,J,No,0,0,0,40950,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Mitsubishi,Triton,172.6063539,-43.48088348,1568165.893,5185706.408
884,Female,38,17,21,No,No,Yes,Garage,NO,400,Australian,D,No,0,0,0,23580,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2008,Toyota,Hilux,172.599567,-43.48164445,1567617.444,5185619.279
885,Female,25,7,18,No,No,Yes,Garage,NO,400,NZLEARNERS,F,No,0,0,0,11460,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2004,Mitsubishi,Pajero,172.649769,-43.44510188,1571660.16,5189695.905
886,Male,19,0,19,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,130950,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2011,Porsche,911,172.6143568,-43.47400195,1568809.548,5186473.684
887,Female,35,16,19,No,No,No,Driveway,NO,400,NZFULL,D,No,0,0,0,30700,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Nissan,Qashqai,172.6422433,-43.47745817,1571066.632,5186099.912
888,Female,35,17,18,No,No,Yes,Garage,NO,400,NZFULL,F,No,0,0,0,32723,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Nissan,Navara St,172.5975735,-43.4767994,1567453.631,5186156.583
889,Female,26,8,18,No,No,No,Garage,NO,400,NZLEARNERS,J,No,0,0,0,5723,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2002,Audi,A4,172.6127067,-43.46987782,1568673.959,5186931.081
890,Male,25,5,20,No,No,No,Driveway,NO,400,NZFULL,G,No,0,0,0,22807,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Hyundai,I45,172.618171,-43.4723412,1569117.191,5186659.545
891,Female,24,6,18,No,No,No,Driveway,NO,400,NZLEARNERS,F,No,0,0,0,12350,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2007,Kia,Sportage,174.1030915,-39.04953538,1695453.22,5677147.485
892,Female,50,34,16,No,No,No,Carport,NO,400,NZFULL,G,No,0,0,0,34130,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Fiat,Ducato,174.0993223,-39.0690608,1695100.852,5674984.572
893,Male,45,26,19,No,No,No,Garage,NO,400,NZFULL,E,No,0,0,0,55147,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Toyota,Landcruiser Prado,174.1494803,-39.02672628,1699499.456,5679629.039
894,Male,19,1,18,No,No,No,Carport,NO,400,NZFULL,C,No,0,0,0,13760,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Honda,Accord Euro,174.1545251,-39.02301713,1699941.372,5680035.137
895,Female,29,11,18,No,No,No,Garage,NO,400,NZFULL,G,No,0,0,0,112400,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Toyota,Landcruiser,174.1008425,-39.08294335,1695213.705,5673442.34
896,Male,17,0,17,No,No,No,Driveway,NO,400,NZFULL,G,No,0,0,0,17633,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Mitsubishi,Triton,174.0933534,-39.05248953,1694606.595,5676829.821
897,Male,28,9,19,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,24820,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2011,Mazda,Bt-50,172.6170317,-43.5578289,1569068.738,5177164.988
898,Female,61,43,18,No,No,No,Garage,NO,400,NZFULL,G,No,0,0,0,28270,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Volkswagen,Crafter,172.6078544,-43.5430149,1568319.755,5178806.764
899,Female,49,30,19,No,No,Yes,Garage,NO,400,Australian,C,No,0,0,0,11920,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2008,Mazda,Mpv,172.6240208,-43.54602177,1569627.3,5178478.855
900,Male,32,14,18,No,No,Yes,Driveway,NO,400,NZFULL,A,No,0,0,0,38750,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Toyota,Camry,172.6303038,-43.55472248,1570139.155,5177514.837
901,Male,32,15,17,No,No,No,Garage,NO,400,NZFULL,G,No,0,0,0,27107,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Mitsubishi,Triton,172.6158794,-43.57025662,1568982.047,5175784.344
902,Female,34,15,19,No,No,No,Street,NO,400,Australian,G,No,0,0,0,45150,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Mini,Hatch,172.6211889,-43.54263515,1569396.817,5178853.931
903,Male,20,0,20,No,No,No,Driveway,NO,400,NZRESTRICTED,A,No,0,0,0,57530,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Mercedes-Benz,C300 Cdi,172.6151921,-43.55308698,1568917.722,5177690.936
904,Male,28,8,20,No,No,Yes,Garage,AA Finance,400,NZFULL,F,No,0,0,0,48523,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Volkswagen,Touareg,172.6195013,-43.54971353,1569264.077,5178067.191
905,Male,28,11,17,No,No,No,Street,NO,400,NZRESTRICTED,A,No,0,0,0,8713,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2009,Hyundai,I30,172.6147635,-43.56375268,1568888.591,5176506.251
906,Male,30,11,19,No,No,No,Garage,NO,400,NZFULL,F,No,0,0,0,40913,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Toyota,Hilux,172.6263285,-43.55570825,1569818.557,5177403.923
907,Male,22,5,17,No,No,No,Driveway,NO,400,NZFULL,D,No,0,0,0,30017,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Mitsubishi,Asx,172.6184182,-43.56199655,1569182.846,5176702.647
908,Female,18,0,18,No,No,No,Driveway,NO,400,NZLEARNERS,J,No,0,0,0,15750,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Suzuki,Swift,169.9751285,-46.10691668,1366232.817,4889624.326
909,Male,47,29,18,No,No,Yes,Driveway,NO,400,NZFULL,J,No,0,0,0,19123,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Honda,Euro Civic,169.9655929,-46.11664438,1365537.206,4888515.442
910,Female,48,29,19,No,No,No,Garage,NO,400,NZFULL,D,No,0,0,0,16703,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Daihatsu,Terios,169.9600587,-46.12258173,1365134.856,4887839.431
911,Female,27,9,18,No,No,No,Driveway,NO,400,NZRESTRICTED,A,No,3,1,2,49400,Company Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Suzuki,S-Cross,169.9750082,-46.13210848,1366330.131,4886825.08
912,Male,32,14,18,No,No,Yes,Driveway,NO,400,Australian,D,No,0,0,0,6210,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2006,Nissan,Tiida,169.9605766,-46.12286967,1365176.091,4887808.971
913,Female,31,10,21,No,No,No,Garage,NO,400,Australian,F,No,0,0,0,34207,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Ford,Falcon,169.9670489,-46.11536963,1365644.296,4888661.368
